Dataset,Model_Name,Batch_Size,Window_Size,Fold,Accuracy_Train,Accuracy_Validation,Accuracy_Test,Accuracy_Test_Full_Train
WADI,XCM,32,20,1,1.0,0.9930555555555556,0.9,0.9
WADI,XCM,32,20,2,1.0,0.9837962962962963,0.9236111111111112,0.9
WADI,XCM,32,20,3,1.0,0.9814814814814815,0.9138888888888889,0.9
WADI,XCM,32,20,4,1.0,0.9930555555555556,0.9111111111111111,0.9
WADI,XCM,32,20,5,1.0,0.9907407407407407,0.8430555555555556,0.9
