Dataset,Model_Name,Batch_Size,Window_Size,Fold,Accuracy_Train,Accuracy_Validation,Accuracy_Test,Accuracy_Test_Full_Train
SWAT,XCM-Seq,32,20,1,0.9971098265895953,0.984,0.952,0.9477333333333333
SWAT,XCM-Seq,32,20,2,0.9873277012005336,0.9768888888888889,0.9493333333333334,0.9477333333333333
SWAT,XCM-Seq,32,20,3,0.9793241440640285,0.9751111111111112,0.9578666666666666,0.9477333333333333
SWAT,XCM-Seq,32,20,4,0.9873305178928651,0.9679715302491103,0.9322666666666667,0.9477333333333333
SWAT,XCM-Seq,32,20,5,0.995554567681707,0.9777580071174378,0.9504,0.9477333333333333
