Dataset,Model_Name,Batch_Size,Window_Size,Fold,precison_Train,precison_Validation,precison_Test,precison_Test_Full_Train
PCA_SWAT,XCM,32,20,1,1.0,0.9931972789115646,0.532258064516129,0.6578947368421053
PCA_SWAT,XCM,32,20,2,0.9983388704318937,1.0,0.4807692307692308,0.6578947368421053
PCA_SWAT,XCM,32,20,3,0.9776357827476039,0.9746835443037974,0.5135135135135135,0.6578947368421053
PCA_SWAT,XCM,32,20,4,1.0,0.9861111111111112,0.6041666666666666,0.6578947368421053
PCA_SWAT,XCM,32,20,5,1.0,1.0,1.0,0.6578947368421053
