Dataset,Model_Name,Batch_Size,Window_Size,Fold,precison_Train,precison_Validation,precison_Test,precison_Test_Full_Train
SWAT,XCM,32,20,1,0.9896449704142012,0.9451219512195121,0.7272727272727273,1.0
SWAT,XCM,32,20,2,0.8306748466257668,0.7735849056603774,0.39285714285714285,1.0
SWAT,XCM,32,20,3,1.0,0.9520958083832335,0.46511627906976744,1.0
SWAT,XCM,32,20,4,0.9924924924924925,0.9575757575757575,0.7777777777777778,1.0
SWAT,XCM,32,20,5,0.9768115942028985,0.94375,0.9,1.0
