Dataset,Model_Name,Batch_Size,Window_Size,Fold,Accuracy_Train,Accuracy_Validation,Accuracy_Test,Accuracy_Test_Full_Train
PCA_SWAT,XCM,32,20,1,0.9909284951974386,0.9765333333333334,0.9210666666666667,0.9525333333333333
PCA_SWAT,XCM,32,20,2,0.995998933048813,0.9855923159018143,0.944,0.9525333333333333
PCA_SWAT,XCM,32,20,3,0.9938650306748467,0.9733191035218783,0.9498666666666666,0.9525333333333333
